shobi_code,brand,perfume,current_status,fragrantica_status
675-GUC,Gucci,Bloom,AMBIGUOUS,NOT_FOUND
651-ARM,Giorgio Armani,LEI/ELLE/SHE/ELLA,NOT_FOUND,NOT_FOUND
649-ARM,Giorgio Armani,Armani Code Turquoise,AMBIGUOUS,NOT_FOUND
640-FEN,Fendi,L'ACQUA ROSSA - FENDI,NOT_FOUND,NOT_FOUND
639-FEN,Fendi,FENDI Woman,NOT_FOUND,NOT_FOUND
623-EST,Estée Lauder,ESTEE - ESTEE LAUDER,AMBIGUOUS,NOT_FOUND
622-EST,Estée Lauder,Cinnabar Eau de Parfum,AMBIGUOUS,NOT_FOUND
619-EST,Estee Lauder,Bronze Goddess Eau Fraiche Skinscent Estee Lauder,AMBIGUOUS,NOT_FOUND
616-EST,Estee Lauder,Beyond Paradise,AMBIGUOUS,NOT_FOUND
613-ESC,Escada,Turquoise Summer,NOT_FOUND,NOT_FOUND
612-ESC,Escada,TURQUOISE - ESCADA,NOT_FOUND,NOT_FOUND
611-ESC,Escada,Taj Sunset,NOT_FOUND,NOT_FOUND
610-ESC,Escada,Sorbetto Rosso,NOT_FOUND,NOT_FOUND
607-ESC,Escada,Marine Groove,NOT_FOUND,NOT_FOUND
606-ESC,Escada,MARGARETHA LEY (CLASSIC) - ESCADA,NOT_FOUND,NOT_FOUND
604-ESC,Escada,Magnetism,NOT_FOUND,NOT_FOUND
603-ESC,Escada,Incredible Me,NOT_FOUND,NOT_FOUND
602-ESC,Escada,Joyful,NOT_FOUND,NOT_FOUND
600-ESC,Escada,Fiesta Carioca,NOT_FOUND,NOT_FOUND
599-ESC,Escada,Cherry In The Air,NOT_FOUND,NOT_FOUND
598-ESC,Escada,CELEBRATE NOW - ESCADA,NOT_FOUND,NOT_FOUND
597-ESC,Escada,Born In Paradise,NOT_FOUND,NOT_FOUND
596-ESC,Escada,Agua Del Sol,NOT_FOUND,NOT_FOUND
595-EMIL,Emilio Pucci,EMILIO PUCCI,NOT_FOUND,NOT_FOUND
594-EMAN,Emanuel Ungaro,Diva Eau de Parfum,NOT_FOUND,NOT_FOUND
593-ELZT,Elizabeth Taylor,White Diamonds,NOT_FOUND,NOT_FOUND
590-ELIZ,Elizabeth Arden,5th AVENUE - ELIZABETH,AMBIGUOUS,NOT_FOUND
588-ELI,Elie Saab,Le Parfum,NOT_FOUND,NOT_FOUND
584-DSQ,Dsquared2,POTION FOR WOMEN - DSQUARED,NOT_FOUND,NOT_FOUND
581-DON,DKNY,MY NY - Donna Karan,AMBIGUOUS,NOT_FOUND
578-DON,DKNY,DKNY,NOT_FOUND,NOT_FOUND
577-DON,DKNY,CASHMERE MIST - DKNY,NOT_FOUND,NOT_FOUND
570-DOL,Dolce & Gabbana,(RED CUP),NOT_FOUND,NOT_FOUND
552-DOL,Dolce & Gabbana,ANTHOLOGY L'IMPERATRICE 3,NOT_FOUND,NOT_FOUND
537-DRC,Dior,Fragrance MISS CHERIE,NOT_FOUND,NOT_FOUND
536-DRC,Dior,BLOOMING BOUQUET,AMBIGUOUS,NOT_FOUND
534-DRC,Dior,MISS,AMBIGUOUS,NOT_FOUND
532-DRC,Dior,Joy,AMBIGUOUS,NOT_FOUND
527-DRC,Dior,La Collection Privee Grand Bal,AMBIGUOUS,NOT_FOUND
510-CHL,Chloe,Chloé,AMBIGUOUS,NOT_FOUND
508-CHA,Chanel,the fragrance Coco Black,NOT_FOUND,NOT_FOUND
507-CHA,Chanel,COCON MADEM INTENSE,NOT_FOUND,NOT_FOUND
506-CHA,Chanel,COCON MADEM,NOT_FOUND,NOT_FOUND
505-CHA,Chanel,COCO EAUDEPARFUM,NOT_FOUND,NOT_FOUND
504-CHA,Chanel,Five L'EAU,NOT_FOUND,NOT_FOUND
503-CHA,Chanel,No 5 EAU PREMIER,NOT_FOUND,NOT_FOUND
502-CHA,Chanel,No 5,AMBIGUOUS,NOT_FOUND
467-CAL,Calvin Klein,Contradiction for Women Eau de Parfum,AMBIGUOUS,NOT_FOUND
437-BLG,Bvlgari,BVL Pour Femme,NOT_FOUND,NOT_FOUND
1496-BRB,Burberry,BURBERRY WEEKEND,AMBIGUOUS,NOT_FOUND
