shobi_code,brand,perfume,current_status,fragrantica_status
1169-HUG,Hugo Boss,The Scent,AMBIGUOUS,NOT_FOUND
1151-HAL,Halston,Halston Z-14 Cologne,NOT_FOUND,NOT_FOUND
1150-GLA,Guy Laroche,Drakkar Noir,NOT_FOUND,NOT_FOUND
1148-GUC,Gucci,Oud,AMBIGUOUS,NOT_FOUND
1146-GUC,Gucci,Guilty Intense,AMBIGUOUS,NOT_FOUND
1133-ARM,Giorgio Armani,BLACK CODE,NOT_FOUND,NOT_FOUND
1132-ARM,Giorgio Armani,Attitude,AMBIGUOUS,NOT_FOUND
1122-GFE,Gianfranco Ferré,In the Mood for Love,NOT_FOUND,NOT_FOUND
1120-FER,Ferrari,Cedar Essence,NOT_FOUND,NOT_FOUND
1119-FEN,Fendi,ACQUA FAN DI FENDI,NOT_FOUND,NOT_FOUND
1117-EST,Estée Lauder,Intuition for Men Cologne,AMBIGUOUS,NOT_FOUND
1116-ZEG,Ermenegildo Zegna,UOMO ABSOLUT - ERMENEGILDO ZEGNA,NOT_FOUND,NOT_FOUND
1137-ARM,Giorgio Armani,WHITE,AMBIGUOUS,NOT_FOUND
1135-ARM,Giorgio Armani,LUI/IL/HE/EL,NOT_FOUND,NOT_FOUND
1112-DSQ,Dsquared2,HE WOOD ROCKY MOUNTAIN - DSQUARED,NOT_FOUND,NOT_FOUND
1111-DSQ,Dsquared2,HE WOOD - DSQUARED Perfumes,NOT_FOUND,NOT_FOUND
1110-DSQ,Dsquared2,BLACK POTION - DSQUARED,NOT_FOUND,NOT_FOUND
1104-DAV,Davidoff,PURE PACIFIC - DAVIDOFF,AMBIGUOUS,NOT_FOUND
1093-DOL,Dolce & Gabbana,INTENSO,NOT_FOUND,NOT_FOUND
1092-DOL,Dolce & Gabbana,By Man Eau de Toilette,AMBIGUOUS,NOT_FOUND
1082-DRC,Dior,HOMME SPORT,AMBIGUOUS,NOT_FOUND
1080-DRC,Dior,HOMME,AMBIGUOUS,NOT_FOUND
1073-DRC,Dior,HOMME PARFUM,AMBIGUOUS,NOT_FOUND
1071-DRC,Dior,Ambre-nuit-eau-de-,AMBIGUOUS,NOT_FOUND
1067-CHA,Chanel,BLEU,AMBIGUOUS,NOT_FOUND
1042-CAC,Cacharel,POUR HOMME,AMBIGUOUS,NOT_FOUND
1041-BLG,Bvlgari,POUR HOMME BLG,NOT_FOUND,NOT_FOUND
1034-BLG,Bvlgari,AQUA - BVLGARI,AMBIGUOUS,NOT_FOUND
1028-BRB,Burberry,Sport For Men,AMBIGUOUS,NOT_FOUND
1026-BRB,Burberry,Brit,NOT_FOUND,NOT_FOUND
1021-BOG,Jacques Bogart,One Man Show Eau de Toilette,NOT_FOUND,NOT_FOUND
1016-AZZ,Azzaro,VISIT AZZARO,NOT_FOUND,NOT_FOUND
1014-AZZ,Azzaro,CLASSIC,AMBIGUOUS,NOT_FOUND
1008-ACQ,Acqua di Parma,COLONIA PURA (U),NOT_FOUND,NOT_FOUND
1007-ACQ,Acqua di Parma,Colonia Leather,NOT_FOUND,NOT_FOUND
