prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,social_card_url,local_path,card_status,bytes,sha256,error
5117,2849-STE,HARRODS RUBY NAGA,Stephane Humbert Lucas 777,Harrods Ruby Naga,CONFIRMED,FOUND,74594,https://www.fragrantica.com/perfume/Stephane-Humbert-Lucas-777/Harrods-Ruby-Naga-74594.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_74594.jpeg,fragrantica-scraper-archive/social-cards/images/5117_2849-STE_74594.jpeg,EXISTS,107165,11204e15ecb9265ad7da5a2e94e942b8c21b437f1645f3d7e2358577d8fe4cd9,
5116,2848-PRFRO,VANITAS,Profumum Roma,Vanitas,CONFIRMED,FOUND,11220,https://www.fragrantica.com/p/11220,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_11220.jpeg,fragrantica-scraper-archive/social-cards/images/5116_2848-PRFRO_11220.jpeg,EXISTS,92438,c5f0a2fdbb4ac99e5489f1cafae9f5f3b80885399120778875a9496938b907c4,
5115,2847-NISH,HUNDRED SILENT WAYS X,Nishane,Hundred Silent Ways X,CONFIRMED,FOUND,80463,https://www.fragrantica.com/perfume/Nishane/Hundred-Silent-Ways-X-80463.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_80463.jpeg,fragrantica-scraper-archive/social-cards/images/5115_2847-NISH_80463.jpeg,EXISTS,112594,93d370b10a9efb40604b78a6ea4d4989c4032c5609b86d24ede0bd18765e94d1,
5114,2846-MIN,COUNTER PLAY,Mind Games,Counterplay,CONFIRMED,FOUND,114442,https://www.fragrantica.com/perfume/Mind-Games/Counterplay-114442.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_114442.jpeg,fragrantica-scraper-archive/social-cards/images/5114_2846-MIN_114442.jpeg,EXISTS,95976,b321825f691884adc0a61ca34a7d27abc5c500305894974cdc46960b94149d9d,
5113,2845-LUS,WE BELIEVE IN GLINDA,Lush,We Believe in Glinda,CONFIRMED,FOUND,117589,https://www.fragrantica.com/perfume/Lush/We-Believe-in-Glinda-117589.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_117589.jpeg,fragrantica-scraper-archive/social-cards/images/5113_2845-LUS_117589.jpeg,EXISTS,100723,1ff4e865f75593af4cbb1f509b954802af486defef642407468a1f1a06c2d891,
5112,2844-LUS,BLACK PEARL,Lush,Black Pearl,CONFIRMED,FOUND,10802,https://www.fragrantica.com/perfume/Lush/Black-Pearl-10802.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_10802.jpeg,fragrantica-scraper-archive/social-cards/images/5112_2844-LUS_10802.jpeg,EXISTS,114169,0a1afbca20753a1eec88b3d3b74278e4a872aeacfbb9655e610bae3199aa2437,
5111,2843-LEL,LABDANUM 18,Le Labo,Labdanum 18,CONFIRMED,FOUND,7848,https://www.fragrantica.com/perfume/Le-Labo/Labdanum-18-7848.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_7848.jpeg,fragrantica-scraper-archive/social-cards/images/5111_2843-LEL_7848.jpeg,EXISTS,101000,b228a0bddae69482f9391e1083bc5e4bccf769b646143d4745493f30837393fc,
5110,2842-KYLJ,VANILLA DEW,kylie-cosmetics,Vanilla-dew,CONFIRMED,FOUND,117345,https://www.fragrantica.com/p/117345,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_117345.jpeg,fragrantica-scraper-archive/social-cards/images/5110_2842-KYLJ_117345.jpeg,EXISTS,91690,887a97645101c2d181b164cb7d2a8c40c5bb8c3525fe939e5bda556173b1c4b9,
5109,2841-KYLJ,SWEET ECLAIRE,Kylie Jenner,SWEET ECLAIRE,CONFIRMED,FOUND,117347,https://www.fragrantica.com/p/117347,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_117347.jpeg,fragrantica-scraper-archive/social-cards/images/5109_2841-KYLJ_117347.jpeg,EXISTS,97343,389d0c65468baa8079b1b9156dd7c059604874bd079b4f9fb53e6d63166deef6,
5108,2840-KYLJ,CARAMEL CLOUD,kylie-cosmetics,Caramel-cloud,CONFIRMED,FOUND,117346,https://www.fragrantica.com/p/117346,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_117346.jpeg,fragrantica-scraper-archive/social-cards/images/5108_2840-KYLJ_117346.jpeg,EXISTS,92977,68c8e4ab055e2cf5b88c3faa000e4e655a70ad58485eea9b46fceef8b306499f,
