prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path
5117,2849-STE,74594,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0000,summer,HIGH,1.0000,fragrantica-scraper-archive/social-cards/images/5117_2849-STE_74594.jpeg
5116,2848-PRFRO,11220,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.9606,0.0000,summer,HIGH,0.9606,fragrantica-scraper-archive/social-cards/images/5116_2848-PRFRO_11220.jpeg
5115,2847-NISH,80463,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.9606,0.0000,summer,HIGH,0.9606,fragrantica-scraper-archive/social-cards/images/5115_2847-NISH_80463.jpeg
5114,2846-MIN,114442,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0000,summer,HIGH,1.0000,fragrantica-scraper-archive/social-cards/images/5114_2846-MIN_114442.jpeg
5113,2845-LUS,117589,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.9921,0.0000,summer,HIGH,0.9921,fragrantica-scraper-archive/social-cards/images/5113_2845-LUS_117589.jpeg
5112,2844-LUS,10802,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0000,summer,HIGH,1.0000,fragrantica-scraper-archive/social-cards/images/5112_2844-LUS_10802.jpeg
5111,2843-LEL,7848,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.8740,0.0000,summer,HIGH,0.8740,fragrantica-scraper-archive/social-cards/images/5111_2843-LEL_7848.jpeg
5110,2842-KYLJ,117345,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0000,summer,HIGH,1.0000,fragrantica-scraper-archive/social-cards/images/5110_2842-KYLJ_117345.jpeg
5109,2841-KYLJ,117347,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,1.0000,0.9921,1.0000,TIE,TIE,0.0000,fragrantica-scraper-archive/social-cards/images/5109_2841-KYLJ_117347.jpeg
5108,2840-KYLJ,117346,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.0039,0.0000,TIE,TIE,0.0039,fragrantica-scraper-archive/social-cards/images/5108_2840-KYLJ_117346.jpeg
5107,2839-JUL,113627,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0000,summer,HIGH,1.0000,fragrantica-scraper-archive/social-cards/images/5107_2839-JUL_113627.jpeg
5106,2838-JIM,113626,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,1.0000,1.0000,1.0000,TIE,TIE,0.0000,fragrantica-scraper-archive/social-cards/images/5106_2838-JIM_113626.jpeg
5105,2837-GUL,121453,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.8504,0.0000,summer,HIGH,0.8504,fragrantica-scraper-archive/social-cards/images/5105_2837-GUL_121453.jpeg
5104,2836-FRA,90972,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.8346,0.0000,summer,HIGH,0.8346,fragrantica-scraper-archive/social-cards/images/5104_2836-FRA_90972.jpeg
5103,2835-BORN,102810,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.9213,0.0000,summer,HIGH,0.9213,fragrantica-scraper-archive/social-cards/images/5103_2835-BORN_102810.jpeg
5102,2834-AMG,116626,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.9449,0.0000,summer,HIGH,0.9449,fragrantica-scraper-archive/social-cards/images/5102_2834-AMG_116626.jpeg
5101,2833-AMG,62859,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,1.0000,TIE,TIE,0.0000,fragrantica-scraper-archive/social-cards/images/5101_2833-AMG_62859.jpeg
5099,2832-ZAD,103492,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,1.0000,1.0000,1.0000,TIE,TIE,0.0000,fragrantica-scraper-archive/social-cards/images/5099_2832-ZAD_103492.jpeg
5098,2831-GISS,126288,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0000,summer,HIGH,1.0000,fragrantica-scraper-archive/social-cards/images/5098_2831-GISS_126288.jpeg
5097,2830-VAL,95537,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.9213,0.0000,summer,HIGH,0.9213,fragrantica-scraper-archive/social-cards/images/5097_2830-VAL_95537.jpeg
5096,2829-PARF,123716,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0370,summer,HIGH,0.9630,fragrantica-scraper-archive/social-cards/images/5096_2829-PARF_123716.jpeg
5095,2828-ATEL,104586,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,0.8740,0.0000,summer,HIGH,0.8740,fragrantica-scraper-archive/social-cards/images/5095_2828-ATEL_104586.jpeg
5094,2827-BYR,108421,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,0.0000,1.0000,0.0000,summer,HIGH,1.0000,fragrantica-scraper-archive/social-cards/images/5094_2827-BYR_108421.jpeg
5093,2826-SOL,119651,,NEEDS_CARD_TITLE_EXTRACTION,0.0000,1.0000,1.0000,0.0123,TIE,TIE,0.0000,fragrantica-scraper-archive/social-cards/images/5093_2826-SOL_119651.jpeg
